timestamp,event,param,recovery_seconds,avg_rtt_seconds
2025-09-09T22:03:42.919980,latency,400,,0.41680318117141724
2025-09-09T22:03:59.063056,latency,1600,,1.6151257753372192
2025-09-09T22:04:29.586051,kill,chaos-lite-api-1,,
2025-09-09T22:06:09.546745,latency,200,,0.21575440963109335
2025-09-09T22:06:23.258441,latency,1200,,1.2196128567059834
2025-09-09T22:06:49.034061,latency,1600,,1.6233048637708027
